contrato,fatura_on_line,metodo_pagamento,gasto_mensal,gasto_total,servico_internet,seguranca_online,backup_online,protecao_dispositivo,suporte_tecnico,tv_cabo,streaming_filmes,servico_telefone,multiplas_linhas,genero,idoso_maior_65,possui_parceira,dependentes,tempo_contrato,id_cliente,evadido,compras_diarias,evadido_numerico
one year,1,mailed check,65.6,593.3,dsl,0,1,0,1,yes,no,1,0,female,0,1,1,9,0002-orfbo,0,2.1866666666666665,0
month-to-month,0,mailed check,59.9,542.4,dsl,0,0,0,0,no,yes,1,1,male,0,0,0,9,0003-mknfe,0,1.9966666666666666,0
month-to-month,1,electronic check,73.9,280.85,fiber optic,0,0,1,0,no,no,1,0,male,0,0,0,4,0004-tlhlj,1,2.4633333333333334,1
month-to-month,1,electronic check,98.0,1237.85,fiber optic,0,1,1,0,yes,yes,1,0,male,1,1,0,13,0011-igkff,1,3.2666666666666666,1
month-to-month,1,mailed check,83.9,267.4,fiber optic,0,0,0,1,yes,no,1,0,female,1,1,0,3,0013-exchz,1,2.796666666666667,1
month-to-month,1,credit card (automatic),69.4,571.45,dsl,0,0,0,1,yes,yes,1,0,female,0,0,1,9,0013-mhzwf,0,2.3133333333333335,0
two year,1,bank transfer (automatic),109.7,7904.25,fiber optic,1,1,1,1,yes,yes,1,0,female,1,1,0,71,0013-smeoe,0,3.6566666666666667,0
two year,1,credit card (automatic),84.65,5377.8,fiber optic,1,0,0,1,no,no,1,1,male,0,1,0,63,0014-bmaqu,0,2.8216666666666668,0
month-to-month,1,electronic check,48.2,340.35,dsl,1,0,0,0,no,no,1,0,female,1,0,0,7,0015-uocoj,0,1.6066666666666667,0
two year,1,mailed check,90.45,5957.9,dsl,1,1,1,1,yes,yes,1,1,female,0,1,1,65,0016-qljis,0,3.015,0
two year,0,credit card (automatic),45.2,2460.55,dsl,1,0,0,1,yes,no,0,0,male,0,0,0,54,0017-dinoc,0,1.5066666666666668,0
two year,1,credit card (automatic),116.8,8456.75,fiber optic,1,1,1,1,yes,yes,1,1,female,0,1,1,72,0017-iudmw,0,3.893333333333333,0
month-to-month,1,electronic check,68.95,351.5,fiber optic,0,0,0,0,no,no,1,0,female,0,1,0,5,0018-nyrou,0,2.2983333333333333,0
two year,1,bank transfer (automatic),101.3,7261.25,fiber optic,1,1,1,0,yes,no,1,1,female,0,0,0,72,0019-efaep,0,3.3766666666666665,0
two year,0,bank transfer (automatic),45.05,2560.1,dsl,1,1,1,1,no,no,0,0,female,0,0,0,56,0019-gfntw,0,1.5016666666666665,0
two year,1,credit card (automatic),95.75,6849.4,fiber optic,0,1,1,0,no,yes,1,1,female,0,1,1,71,0020-inwck,0,3.191666666666667,0
one year,0,mailed check,61.25,1993.2,dsl,1,0,1,1,yes,yes,0,0,female,0,1,1,34,0020-jdnxp,0,2.0416666666666665,0
month-to-month,1,electronic check,72.1,72.1,fiber optic,0,0,0,0,no,no,1,1,female,1,0,0,1,0021-ikxgc,0,2.4033333333333333,0
one year,0,credit card (automatic),62.7,2791.5,dsl,1,0,1,0,no,yes,1,0,male,1,0,0,45,0022-tcjci,1,2.0900000000000003,1
month-to-month,1,electronic check,25.1,25.1,dsl,0,0,0,0,no,no,0,0,male,1,0,0,1,0023-hghwl,1,0.8366666666666667,1
one year,0,electronic check,25.2,1306.3,no,0,0,0,0,no internet service,no internet service,1,1,female,1,1,0,50,0023-uyupn,0,0.84,0
month-to-month,0,electronic check,94.1,1215.6,fiber optic,0,1,1,0,yes,no,1,1,female,0,1,0,13,0023-xuopt,1,3.1366666666666663,1
month-to-month,1,electronic check,83.75,1849.95,fiber optic,0,0,0,0,yes,no,1,1,female,0,1,1,23,0027-kwykw,0,2.7916666666666665,0
month-to-month,0,mailed check,19.85,57.2,no,0,0,0,0,no internet service,no internet service,1,0,female,0,0,0,3,0030-fnxpp,0,0.6616666666666667,0
month-to-month,0,mailed check,20.35,76.35,no,0,0,0,0,no internet service,no internet service,1,0,female,0,1,1,4,0031-pvlzi,1,0.6783333333333333,1
month-to-month,0,bank transfer (automatic),30.5,30.5,dsl,1,0,0,0,no,no,0,0,female,0,1,1,1,0032-pgels,1,1.0166666666666666,1
one year,1,bank transfer (automatic),103.7,5656.75,fiber optic,0,1,1,1,yes,yes,1,0,female,0,1,1,55,0036-ihmot,0,3.4566666666666666,0
two year,0,credit card (automatic),20.4,1090.6,no,0,0,0,0,no internet service,no internet service,1,0,male,0,1,1,54,0040-halcw,0,0.6799999999999999,0
one year,1,bank transfer (automatic),19.6,471.85,no,0,0,0,0,no internet service,no internet service,1,0,male,0,0,0,26,0042-jvwoj,0,0.6533333333333334,0
